index,step,reward,brier_score,p_yes,ground_truth,parseable
0,0,0.2783203125,0.0,0.0,False,1
1,0,-0.74609375,1.0,1.0,False,1
2,0,-0.7314453125,1.0,1.0,False,1
3,0,0.31982421875,0.0,0.0,False,1
4,0,0.29291015624999994,0.0025000000000000044,0.050000000000000044,False,1
5,0,0.30517578125,0.0,0.0,False,1
6,0,0.33203125,0.0,0.0,False,1
7,0,0.3271484375,0.0,0.0,False,1
8,0,-0.6435546875,1.0,0.0,True,1
9,0,0.3955078125,0.0,1.0,True,1
10,0,-0.5654296875,1.0,1.0,False,1
11,0,0.400390625,0.0,0.0,False,1
12,0,0.3955078125,0.0,0.0,False,1
13,0,0.3955078125,0.0,1.0,True,1
14,0,0.39306640625,0.0,0.0,False,1
15,0,-0.57763671875,1.0,1.0,False,1
16,0,0.37103515624999994,0.0025000000000000044,0.050000000000000044,False,1
17,0,0.45630859375,0.009999999999999995,0.9,True,1
18,0,0.39283203125,0.009999999999999995,0.09999999999999998,False,1
19,0,0.4541015625,0.0,1.0,True,1
20,0,0.380859375,0.0,0.0,False,1
21,0,-0.58251953125,1.0,1.0,False,1
22,0,0.4443359375,0.0,1.0,True,1
23,0,0.42724609375,0.0,0.0,False,1
24,0,0.3857421875,0.0,1.0,True,1
25,0,0.4296875,0.0,1.0,True,1
26,0,-0.5361328125,1.0,1.0,False,1
27,0,0.39306640625,0.0,0.0,False,1
28,0,0.331796875,0.009999999999999995,0.9,True,1
29,0,0.35400390625,0.0,0.0,False,1
30,0,0.4541015625,0.0,0.0,False,1
31,0,0.39794921875,0.0,1.0,True,1
32,0,0.41748046875,0.0,1.0,True,1
33,0,0.5419335937499999,0.0025000000000000044,0.050000000000000044,False,1
34,0,0.43207031249999994,0.0025000000000000044,0.050000000000000044,False,1
35,0,0.37841796875,0.0,1.0,True,1
36,0,0.42724609375,0.0,1.0,True,1
37,0,0.40765624999999994,0.0025000000000000044,0.050000000000000044,False,1
38,0,0.41748046875,0.0,0.0,False,1
39,0,0.4443359375,0.0,1.0,True,1
40,0,-0.638671875,1.0,0.0,True,1
41,0,0.45892578124999994,0.0025000000000000044,0.050000000000000044,False,1
42,0,-0.39957031249999997,0.9025,0.95,False,1
43,0,0.47119140625,0.0,1.0,True,1
44,0,0.43701171875,0.0,1.0,True,1
45,0,0.5224609375,0.0,1.0,True,1
46,0,0.3857421875,0.0,1.0,True,1
47,0,0.44677734375,0.0,0.0,False,1
48,0,0.47119140625,0.0,1.0,True,1
49,0,0.4443359375,0.0,0.0,False,1
50,0,0.44189453125,0.0,1.0,True,1
51,0,0.380859375,0.0,0.0,False,1
52,0,0.44189453125,0.0,1.0,True,1
53,0,0.361328125,0.0,1.0,True,1
54,0,0.44654296875,0.009999999999999995,0.9,True,1
55,0,0.3759765625,0.0,1.0,True,1
56,0,0.5126953125,0.0,1.0,True,1
57,0,-0.33880859375000005,0.81,0.9,False,1
58,0,0.5078125,0.0,1.0,True,1
59,0,-0.53125,1.0,1.0,False,1
60,0,0.38818359375,0.0,0.0,False,1
61,0,0.45113281250000004,0.022500000000000006,0.15000000000000002,False,1
62,0,0.4541015625,0.0,1.0,True,1
63,0,0.49507812500000004,0.022500000000000006,0.85,True,1
64,0,0.5761132812499999,0.0025000000000000044,0.95,True,1
65,0,0.45875,0.009999999999999995,0.09999999999999998,False,1
66,0,0.4931640625,0.0,1.0,True,1
67,0,0.47119140625,0.0,1.0,True,1
68,0,0.4736328125,0.0,0.0,False,1
69,0,0.49072265625,0.0,1.0,True,1
70,0,0.498046875,0.0,1.0,True,1
71,0,-0.5703125,1.0,1.0,False,1
72,0,0.439453125,0.0,1.0,True,1
73,0,-0.49951171875,0.25,0.5,False,1
74,0,0.36841796875,0.009999999999999995,0.9,True,1
75,0,0.55419921875,0.0,0.0,False,1
76,0,-0.5361328125,1.0,1.0,False,1
77,0,0.419921875,0.0,0.0,False,1
78,0,-0.4873046875,1.0,1.0,False,1
79,0,0.478515625,0.0,0.0,False,1
80,0,0.3955078125,0.0,1.0,True,1
81,0,0.46630859375,0.0,0.0,False,1
82,0,-0.18101562500000012,0.6400000000000001,0.19999999999999996,True,1
83,0,-0.4970703125,1.0,1.0,False,1
84,0,0.4296875,0.0,1.0,True,1
85,0,0.517578125,0.0,1.0,True,1
86,0,0.498046875,0.0,1.0,True,1
